BL,SHIP_DATE,STATUS
250130,2023-08-17,Staged
250131,2023-09-12,Partial ETA
250132,2023-09-26,Partial ETA
250157,2023-11-06,ETA
250158,2023-08-30,Awaiting Information
250159,2023-08-18,Staged
250160,2023-09-04,Awaiting Information
250203,2023-08-18,Staged
250204,2023-09-07,BL Received
250205,2023-08-30,BL Received
250206,2023-08-31,BL Received
250010,2023-08-16,Staged
250011,2023-08-15,Delayed
250013,2023-12-12,ETA
250054,2023-10-04,ETA
250056,2023-09-01,Awaiting Information
250057,2023-09-01,Awaiting Information
250133,2023-10-16,ETA
250134,2023-08-18,ETA
250135,2023-08-04,ETA
250136,2023-08-16,Staged
250161,2023-09-27,Awaiting Information
250162,2023-10-13,ETA
250163,2023-08-18,BL Received
250164,2023-08-17,ETA
250207,2023-08-16,Staged
250208,2023-09-06,BL Received
250209,2023-08-24,ETA
250210,2023-10-02,Awaiting Payment
250014,2023-09-05,ETA
250015,2023-12-12,ETA
250016,2023-09-04,BL Sent
250017,2023-09-04,BL Sent
250061,2023-08-15,BL Sent
250062,2023-08-16,Staged
250063,2023-08-18,ETA
250169,2023-09-14,BL Received
250170,2023-09-13,ETA
250171,2023-09-29,Shelf Life
250212,2023-08-09,ETA
250213,2023-08-18,BL Sent
250214,2023-08-21,BL Received
250215,2023-08-18,ETA/Awaiting Payment
250018,2023-09-11,Partial ETA - RR
250020,2023-08-21,ETA
250021,2023-08-21,ETA
250065,2023-08-16,Staged
250066,2023-08-21,ETA
250067,2023-08-29,BL Sent
250068,2023-08-14,Partial ETA - RR
250172,2023-09-12,ETA
250173,2023-09-07,BL Sent
250174,2023-09-07,BL Sent
250175,2023-10-13,TBA
250216,2023-08-23,ETA
250217,2023-10-13,Price Discrepancy
250218,2023-09-18,ETA/Awaiting Payment
250219,2023-08-21,BL Sent
250072,2023-08-17,BL Received
250176,2023-08-28,ETA
250177,2023-08-24,BL Received
250178,2023-08-16,Staged
250179,2023-08-18,ETA
250073,2023-08-23,ETA
250074,2023-08-15,Partial ETA - RR
250075,2023-11-06,ETA
250076,2023-10-10,Awaiting Information
250180,2023-09-14,ETA
250181,2023-10-02,ETA
250182,2023-08-21,BL Sent
250183,2023-08-23,BL Received
250077,2023-08-22,Staged
250078,2023-08-24,Partial ETA
250079,2023-09-01,Awaiting Information
250080,2023-10-17,Awaiting Information
250184,2023-10-09,BL Sent
250185,2023-09-19,Awaiting Information
250186,2023-09-21,Awaiting Information
250187,2023-08-22,BL Received
250081,2023-08-21,Partial ETA
250082,2023-08-30,BL Received
250083,2023-08-28,ETA
250084,2023-08-29,BL Received
250085,2023-10-02,Awaiting Information
250086,2023-09-28,Awaiting Information
250087,2023-09-12,ETA
250088,2023-10-05,Awaiting Information
250089,2023-08-24,ETA
250090,2023-09-14,ETA
250091,2023-12-01,ETA
250092,2023-08-16,ETA
250093,2023-08-16,Partial ETA
250099,2023-08-04,Awaiting Information
250100,2023-09-28,Awaiting Information
250101,2023-09-29,Awaiting Information
250102,2023-09-05,BL Sent
250108,2023-08-18,
